title,text,date,url
В России создали беспилотную систему с опцией самообороны от дронов,"В России создали беспилотную логистическую систему «Ямщик» с опцией самообороны от дронов. Она состоит из наземного роботизированного комплекса, дальнобойной помехоустойчивой связи и бортовой станции обороны от беспилотников, рассказал представитель НПО «Киловатт» Александр Чирков, передает ТАСС. Специалист обратил внимание, что современная линия боевого соприкосновения (ЛБС) становится все более безлюдной, бойцов в самой горячей зоне заменяют БПЛА. «Например, по новой стратегии развития беспилотных сил Вооруженных сил Украины (ВСУ), территория сплошного поражения дронами должна составлять до 15 километров в глубину от ЛБС. Развитие наземных роботизированных комплексов принимает сейчас лавинообразный рост», — указал Чирков. Он уточнил, что воздушные дроны представляют опасность для наземных, которые более уязвимы, поэтому возможность обороняться может уберечь беспилотник от моментального уничтожения. Главное новшество платформы — дальнобойная помехоустойчивая связь, которая может принимать сигнал управления и ей в этом не помешает даже работающая поблизости станция радиоэлектронной борьбы (РЭБ). «Ямщик» может удаляться на расстояние до пяти километров по пересеченной местности, а при наличии ретрансляторов связи и пунктов замены АКБ — до 20 километров. «В ходе передвижения между промежуточными точками общее логистическое плечо становится весьма существенным. При этом один пункт управления способен координировать работу до десяти платформ», — добавили в организации. Ранее стало известно, что военнослужащие Вооруженных сил Украины (ВСУ) впадают в панику и пытаются заглушить средствами РЭБ все обнаруженные дроны, включая аппараты подразделений Киева. Дело в том, что в небе у линии фронта находится большое количество аппаратов, и напуганным бойцам сложно определить их принадлежность.",2025-04-19 09:12:58.600269,https://lenta.ru/news/2025/04/19/v-rossii-sozdali-bespilotnuyu-sistemu-s-optsiey-samooborony-ot-dronov/
Михаила Боярского госпитализировали после падения. Артист получил травмы и нуждается в операции,"Советского и российского актера, певца и музыканта Михаила Боярского госпитализировали после падения с высоты нескольких метров во время спектакля. По данным Telegram-канала Shot, артист оступился за кулисами и упал на спину 14 апреля во время репетиции. Боярскому сделали укол обезболивающего, после чего он вернулся на сцену. К врачам актер обратился только спустя два дня. В настоящее время он находится в больнице с травмами и ушибами. Музыканту предстоит операция по стабилизации позвонков. Медики диагностировали артисту сочетанную травму груди и позвоночника, а также компрессионные переломы, закрытую травму грудной клетки и ушиб легкого. По данным Telegram-канала Shot, актер чувствует себя нормально и восстанавливается. Врачи порекомендовали ему некоторое время отдохнуть и восстановить силы. По словам сына артиста, через неделю Боярский отправится домой, так как не видит себя вне сцены в течение долгого времени. Ему предлагали пройти лечение и отдохнуть в санатории, но он от всего отказался. Боярский-младший добавил, что актер не планирует бросать курить, чтобы поправиться. Супруга Боярского Лариса Луппиан в беседе с 78.ru рассказала о состоянии артиста после госпитализации. По ее словам, информация о падении с трехметровой высоты фейковая. Луппиан также добавила, что в настоящее время артист находится на больничном, но в скором времени вернется на сцену. В Театре имени Ленсовета, в свою очередь, сообщили, что Боярский не принимает участия в спектакле «Ромео и Джульетта» из-за болезни. «Поводов для беспокойства нет: состояние здоровья нашего артиста не внушает опасений, но врачи рекомендовали Михаилу Сергеевичу некоторое время отдохнуть и восстановить силы», — говорится в сообщении. Об экстренной госпитализации актера в Санкт-Петербурге стало известно 10 января. Источники сообщали, что артиста доставили в больницу на скорой помощи. По данным Telegram-канала Shot, звезда советских фильмов про мушкетеров находится в отделении неотложной кардиологии Мариинской больницы. Отмечалось, что причиной госпитализации Боярского стала ишемическая болезнь сердца. Однако позже сын народного артиста России Сергей выступил с опровержением новостей о том, что Боярского экстренно госпитализировали из-за проблем с сердцем. По его словам, актер находился в больнице на плановом обследовании. Он добавил, что его здоровью ничего не угрожает. Сам Боярский спустя три дня вышел на сцену. Артист сыграл в спектакле «Ромео и Джульетта» в театре Ленсовета в Санкт-Петербурге.",2025-04-19 09:12:58.800761,https://lenta.ru/news/2025/04/19/mihaila-boyarskogo-gospitalizirovali-posle-padeniya-artist-slomal-rebro-i-nuzhdaetsya-v-operatsii/
Экс-главу Конституционного суда Украины лишили паспорта,"Подольский районный суд Киева был вынужден отложить рассмотрение дела против обвиняемого в коррупции бывшего главы Конституционного суда Украины Александра Тупицкого. Причина в том, что Закарпатское управление Государственной миграционной службы признало недействительными внутренний и зарубежный паспорт фигуранта, сообщает издание «Судебный репортер» («СР»). Заседание планировалось провести в режиме видеоконференции, но экс-глава Конституционного суда не смог пройти авторизацию в системе «Электронный суд». Адвокат бывшего судьи заявил, что для возобновления процесса необхдимо сначала восстановить документы Тупицкого. В 2024 году уволенный Владимиром Зеленским бывший глава КС Украины Тупицкий пережил покушение в Австрии. По словам экс-депутата Верховной Рады Игоря Мосийчука, в качестве отравляющего вещества могла была использована ртуть, так как в крови Тупицкого нашли семикратное превышение нормы этого металла.",2025-04-19 09:12:58.897390,https://lenta.ru/news/2025/04/19/eks-glavu-konstitutsionnogo-suda-ukrainy-lishili-pasporta/
Российский боксер Ковалев завершил карьеру победой,"Российский боксер Сергей Ковалев в прощальном поединке нокаутировал немца Артура Манна, завершив карьеру победой. Об этом сообщил корреспондент «Ленты.ру». Поединок прошел в Челябинске в рамках турнира «Ночь чемпионов IBA». Бой завершился в седьмом раунде техническим нокаутом. В профессиональной карьере 42-летнего Ковалева значатся 36 побед, 5 поражений и 1 ничья. В свою очередь, Манн одержал 22 победы и потерпел 5 поражений. Ранее сообщалось, что российский боксер Дмитрий Бивол отказался от чемпионского пояса по версии Всемирного боксерского совета (WBC) в полутяжелом весе и лишился статуса абсолютного чемпиона мира.",2025-04-19 09:12:59.043681,https://lenta.ru/news/2025/04/19/rossiyskiy-bokser-kovalev-zavershil-karieru-pobedoy/
В Росводресурсах прокомментировали низкий уровень воды в Волге,"Низкий уровень воды в Волге и ее притоках связан с ранним сокращением снежного покрова из-за аномально теплой зимы. Об этом сообщает РИА Новости со ссылкой на пресс-службу Росводресурсов. По данным ведомства, сейчас водохранилища плавно наполняются. Отмечается, что на данный момент Угличское водохранилище заполнено на 95 процентов, Рыбинское — на 68 процентов, Горьковское — на 71 процент. Специалисты подчеркнули, в осенне-зимний период наблюдалась нехватка воды порядка 20-55 процентов. Ранее сообщалось, что в Ярославской области вода опустилась на уровень водозаборов. По словам синоптика, рекам неоткуда взять подпитки. До этого стало известно, что в Ярославской и Ростовской областях существует риск проблем с водоснабжением из-за обмеления рек.",2025-04-19 09:12:59.138192,https://lenta.ru/news/2025/04/19/v-rosvodresursah-prokommentirovali-nizkiy-uroven-vody-v-volge/
Более ста человек погибли при крушении судна в ДР Конго,"В результате крушения судна в северо-западной части Демократической Республики (ДР) Конго погибли 148 человек. Об этом сообщила радиостанция RFI. Первоначально сообщалось о ста погибших. Отмечается, что большинство пассажиров судна пропали без вести. Ранее сотни рыбаков оказались на дрейфующей льдине в Охотском море. Рыбаки находились в 700 метрах от берега в районе села Лесной Сахалинской области. О начале разлома льда рыбаков предупредили с помощью ракетницы, часть рыбаков смогли выбраться самостоятельно.",2025-04-19 09:12:59.196660,https://lenta.ru/news/2025/04/19/bolee-sta-chelovek-pogibli-pri-krushenii-sudna-v-dr-kongo/
Бывший главред российского Playboy признал вину по эпизоду мошенничества,"Бывший главный редактор российской версии журнала Playboy Владимир Ляпоров признал вину по эпизоду мошенничества. Об этом сообщает ТАСС. Журналист обвиняется в особо крупном мошенничестве на сумму свыше 50 миллионов рублей. Отмечается, что Лапорову вменяют пять эпизодов мошенничества по части 4 статьи 159 УК РФ (« Мошенничество»). На счетах экс-главреда арестовано около 30 миллионов рублей. В ноябре 2024 года сотрудники силовых структур задержали Владимира Ляпорова по подозрению в мошенничестве на 200 миллионов рублей. Владимир Ляпоров занимал должность главреда российского журнала Playboy с 2007 по 2009 год.",2025-04-19 09:12:59.253835,https://lenta.ru/news/2025/04/19/byvshiy-glavred-rossiyskogo-playboy-priznal-vinu-po-epizodu-moshennichestva/
Пассажир загоревшегося борта «Азимута» дал показания,"Один из участников коллективного иска против российской авиакомпании «Азимут» дал свидетельские показания в России. Об этом сообщил адвокат Джандаш Гюрол в беседе с РИА Новости. Гюрол представляет интересы нескольких путешественников, подавших коллективные иски против перевозчика, обвиняя его в мошенничестве и умышленной аварии в Анталье в 2024 году. О пожаре на самолете Superjet 100 сообщалось вечером 24 ноября. У лайнера после приземления в аэропорту Антальи возник пожар в одном из двигателей, огонь заметили после остановки на взлетно-посадочной полосе. В авиакомпании «Азимут» заявили, что возгорание началось после грубой посадки из-за сдвига ветра. Однако пассажиры загоревшегося лайнера составили коллективный иск к авиакомпании.",2025-04-19 09:12:59.444100,https://lenta.ru/news/2025/04/19/passazhir-zagorevshegosya-borta-azimuta-dal-pokazaniya/
Назван способ превратить большой живот в рельефный пресс,"Фитнес-блогер Арсений Ким назвал способ превратить большой живот в рельефный пресс. Его слова приводит Men Today. Эксперт рекомендовал включить в тренировку упражнение ножницы, русские скручивания, касание колен, сведение рук под коленями, лодочку, касания пяток, подъемы прямых ног, касание стоп, велосипед, а также радугу. Для выполнения последнего нужно сесть на пол, упереться руками в пол, а ноги выпрямить. После этого следует провести ногами полукруг влево и вправо. Ким заявил, что для рельефных мышц живота упражнения на корпус тоже важны. При этом для сжигания жира в животе также требуются аэробные нагрузки. Ранее тренер Юлия Гуляева назвала способ подтянуть низ живота за три минуты в день. Чтобы сделать низ живота визуально подтянутым, специалист посоветовала делать планку, которая поможет проработать и укрепить кор.",2025-04-19 09:12:59.523398,https://lenta.ru/news/2025/04/19/nazvan-sposob-prevratit-bolshoy-zhivot-v-reliefnyy-press/
В США рассказали о русофобии в Европе,"Американский военный аналитик и политолог Марк Слебода заявил, что в биографии европейских чиновников высокого уровня есть интересные детали, которые могут объяснить политику русофобии. Об этом он сообщил в интервью на авторском YouTube-канале журналистаГарланда Никсона. Он отметил, что глава дипломатии Европейского союза Кая Каллас из Эстонии. «В этой стране проходят шествия бывших легионеров СС, это есть и в других странах Прибалтики, и все одобрено правительствами», — подчеркнул он. Эксперт также добавил, что дед Каллас служил в СС. По его словам, отец будущего канцлера Германии Фридриха Мерца был нацистом. Аналитик считаем, что под прикрытием антироссийской политики в Европе возрождаются старые движения. Он отметил, что теперь главными виновниками всех бед выставляют жителей России. Ранее официальный представитель МИД России Мария Захарова заявила, что в Прибалтике русофобия проявляется наиболее остро. Она напомнила, что в прибалтийских государствах и раньше фиксировались проявления дискриминации по национальному признаку.",2025-04-19 09:12:59.598882,https://lenta.ru/news/2025/04/19/v-ssha-nazvali-glavnyh-rusofobov-v-evrope/
Житель Угледара рассказал о бегстве офицеров ВСУ из города,"Офицеры Вооруженных сил Украины (ВСУ) бежали из Угледара Донецкой народной республики (ДНР) за день до штурма Российской армией, бросая пехотинцев и раненых. Об этом рассказал местный житель Виктор в беседе с РИА Новости. «Буквально за день, за два (до штурма) выехали отсюда ""дронщики"" , что стояли. (...) И практически остались только эти, обыкновенные там пехотинцы, или кто там у них был. Все офицеры повыезжали, никого тут не было. Ну, остались одни смертники», — рассказал Виктор. По его словам, во время наступления Российской армии мирные жители укрывались в подвалах. В свою очередь, ВСУ отступали с поля боя, бросая раненых. Ранее житель Угледара по имени Алексей рассказал, что бойцы ВСУ разграбили город, а добычу увезли в Киев и Днепропетровск (украинское название — Днепр). Он подчеркнул, что команды украинских военных действовали очень слажено, за полминуты взламывая любую металлическую дверь как «консервную банку».",2025-04-19 09:12:59.674272,https://lenta.ru/news/2025/04/19/zhitel-ugledara-rasskazal-o-begstve-ofitserov-vsu-iz-goroda/
